id,URL,Created Date,Likes,Comments,Shares,Description,Link,Group Name,
475100886335230_829984614180187,https://www.facebook.com/groups/475100886335230/permalink/829984614180187/,4/20/2020 8:15:35 AM,3,2,0,Please WATCH... 3 years ago FAUCI said there was going to be a surprise outbreak of a pandemic on Trump's watch. How could FAUCI know something like that unless he was involved. FAUCI broke the law and gave CHINA WUHAN LAB 3.7 million dollars of our taxpayer dollars to work on CORONA when research was forcibly terminated because of the dangers to the United States.  so then they take our taxpayer dollars and have China work on it!!,https://m.youtube.com/watch?feature=share&v=BpwndRgw-kI,#Walkaway Blue States,
475100886335230_831288460716469,https://www.facebook.com/groups/475100886335230/permalink/831288460716469/,4/22/2020 6:27:05 AM,1,1,0,,https://www.washingtontimes.com/news/2014/jul/17/company-co-founded-nancy-pelosis-son-charged-secur/,#Walkaway Blue States,
475100886335230_831374824041166,https://www.facebook.com/groups/475100886335230/permalink/831374824041166/,4/22/2020 8:48:29 AM,5,0,0,GOOD! DO IT!🇺🇸🇺🇸🇺🇸,https://www.foxnews.com/politics/trump-says-hes-instructed-navy-to-destroy-any-iranian-gunboats-harassing-us-ships,#Walkaway Blue States,
475100886335230_831319207380061,https://www.facebook.com/groups/475100886335230/permalink/831319207380061/,4/22/2020 7:24:14 AM,0,0,0,,https://trendingpolitics.com/breaking-new-deal-reached-for-small-business-a-full-week-of-stalling-from-democrats/,#Walkaway Blue States,
475100886335230_831305040714811,https://www.facebook.com/groups/475100886335230/permalink/831305040714811/,4/22/2020 7:00:17 AM,0,0,0,,https://www.youtube.com/watch?v=Y2M-lUdMUAo&feature=share,#Walkaway Blue States,
475100886335230_831298800715435,https://www.facebook.com/groups/475100886335230/permalink/831298800715435/,4/22/2020 6:48:25 AM,0,0,0,,https://www.youtube.com/watch?v=3iYrkQXhPwQ&feature=share,#Walkaway Blue States,
475100886335230_830628094115839,https://www.facebook.com/groups/475100886335230/permalink/830628094115839/,4/21/2020 7:42:39 AM,0,3,0,,https://www.theblaze.com/news/aoc-celebrates-plunge-in-crude-prices-you-absolutely-love-to-see-it,#Walkaway Blue States,
475100886335230_830609407451041,https://www.facebook.com/groups/475100886335230/permalink/830609407451041/,4/21/2020 7:05:39 AM,4,0,0,,https://cnb.cx/3evBwKs,#Walkaway Blue States,
475100886335230_830035977508384,https://www.facebook.com/groups/475100886335230/permalink/830035977508384/,4/20/2020 9:42:09 AM,10,2,0,It's been a long wait! It's about time for Trump to use his TRUMP card and have storm begin! We have all been patiently waiting for the timing to be right!,https://conservativebusinessjournal.com/president-trump-army/,#Walkaway Blue States,
475100886335230_829967290848586,https://www.facebook.com/groups/475100886335230/permalink/829967290848586/,4/20/2020 7:43:40 AM,2,0,0,,https://www.youtube.com/watch?v=jjlj7KkzyqU&feature=share,#Walkaway Blue States,
475100886335230_829962424182406,https://www.facebook.com/groups/475100886335230/permalink/829962424182406/,4/20/2020 7:33:18 AM,0,0,0,,https://www.youtube.com/watch?v=x8lVHmbkrHI,#Walkaway Blue States,
475100886335230_828598750985440,https://www.facebook.com/groups/475100886335230/permalink/828598750985440/,4/18/2020 8:12:28 AM,0,0,0,,http://dailyheadlines.net/hillary-flees-united-states-after-trumps-doj-opens-investigation-on-her-heres-where-shes-headed-4/?utm_source=Mailer-DH&utm_medium=email&utm_content=subscriber_id%3A3216601&utm_campaign=4%2F17+Noon+.net,#Walkaway Blue States,
475100886335230_828189524359696,https://www.facebook.com/groups/475100886335230/permalink/828189524359696/,4/17/2020 5:45:58 PM,0,1,0,,https://thetruepen.com/joe-biden-will-sign-executive-order-on-day-1-forcing-americans-to-fund-planned-parenthood/,#Walkaway Blue States,
475100886335230_828058004372848,https://www.facebook.com/groups/475100886335230/permalink/828058004372848/,4/17/2020 1:39:26 PM,12,4,0,Shits gonna fly NOW!!!!👍👍,https://www.foxnews.com/politics/us-officials-investigation-coronavirus-wuhan-lab,#Walkaway Blue States,
475100886335230_828000224378626,https://www.facebook.com/groups/475100886335230/permalink/828000224378626/,4/17/2020 11:46:15 AM,0,0,0,,https://www.oann.com/calif-gov-newsom-agrees-to-give-illegal-aliens-125m-in-coronavirus-economic-stimulus-package/,#Walkaway Blue States,
475100886335230_827454411099874,https://www.facebook.com/groups/475100886335230/permalink/827454411099874/,4/16/2020 6:35:23 PM,1,0,0,Meanwhile  on the West Coast.........🙄,https://pjmedia.com/trending/west-coast-governors-say-we-are-not-close-to-restarting-the-economy/,#Walkaway Blue States,
475100886335230_827441431101172,https://www.facebook.com/groups/475100886335230/permalink/827441431101172/,4/16/2020 6:09:14 PM,2,0,0,What do you think?,https://buff.ly/2XHRoU4,#Walkaway Blue States,
475100886335230_827423191102996,https://www.facebook.com/groups/475100886335230/permalink/827423191102996/,4/16/2020 5:33:34 PM,7,1,0,This is a must read! Very well written and true!,https://www.linkedin.com/pulse/wake-up-america-mark-miles,#Walkaway Blue States,
