id,URL,Created Date,Likes,Comments,Shares,Description,Group Name,
475100886335230_831467024031946,https://www.facebook.com/groups/475100886335230/permalink/831467024031946/,4/22/2020 11:03:56 AM,0,0,0,,#Walkaway Blue States,
475100886335230_829474640897851,https://www.facebook.com/groups/475100886335230/permalink/829474640897851/,4/19/2020 1:27:50 PM,0,0,0,Looks like we have another so-called Trump supporter jump off the deep end!,#Walkaway Blue States,
475100886335230_829292107582771,https://www.facebook.com/groups/475100886335230/permalink/829292107582771/,4/19/2020 8:04:53 AM,0,0,0,https://www.facebook.com/CrenshawforCongress/videos/598882250721839/,#Walkaway Blue States,
475100886335230_828978067614175,https://www.facebook.com/groups/475100886335230/permalink/828978067614175/,4/18/2020 9:04:11 PM,5,0,0,My mom turns 94 yrs old in May. She can't wait to vote for Trump in November. My mom rules!💘,#Walkaway Blue States,
475100886335230_827874834391165,https://www.facebook.com/groups/475100886335230/permalink/827874834391165/,4/17/2020 8:05:44 AM,4,0,0,,#Walkaway Blue States,
475100886335230_827847291060586,https://www.facebook.com/groups/475100886335230/permalink/827847291060586/,4/17/2020 7:18:58 AM,0,0,0,,#Walkaway Blue States,
475100886335230_827486954429953,https://www.facebook.com/groups/475100886335230/permalink/827486954429953/,4/16/2020 7:35:39 PM,4,0,0,,#Walkaway Blue States,
475100886335230_821898981655417,https://www.facebook.com/groups/475100886335230/permalink/821898981655417/,4/9/2020 2:48:44 AM,0,12,0,WAKE UP!! CRITICAL WARNING TO SHARE!! GLOBALISTS & CHINA WANT TO DEPOPULATE THE WORLD & SYNTHETIC ENGINEERED PANDEMIC VIRUS IS HOW THEY WILL DO IT!!  Then Bill Gates and deep state globalist will get rich over the vaccines to counter every virus that is man-made. It's a win-win where they can depopulate the Earth but also get rich along the way,#Walkaway Blue States,
475100886335230_821734658338516,https://www.facebook.com/groups/475100886335230/permalink/821734658338516/,4/8/2020 8:13:12 PM,0,0,0,,#Walkaway Blue States,
475100886335230_821361278375854,https://www.facebook.com/groups/475100886335230/permalink/821361278375854/,4/8/2020 7:50:47 AM,0,0,0,,#Walkaway Blue States,
475100886335230_818634845315164,https://www.facebook.com/groups/475100886335230/permalink/818634845315164/,4/4/2020 6:20:35 AM,2,0,0,,#Walkaway Blue States,
475100886335230_818244685354180,https://www.facebook.com/groups/475100886335230/permalink/818244685354180/,4/3/2020 3:29:19 PM,0,0,0,From: Matt Staver Chairman Liberty Counsel  Fake news is swirling around the Florida pastor who was arrested. This includes an absolutely shocking level of an attack by a government agent against a pastor and a church.,#Walkaway Blue States,
475100886335230_818036982041617,https://www.facebook.com/groups/475100886335230/permalink/818036982041617/,4/3/2020 8:57:58 AM,3,0,0,Good morning. First report of 4/3/2020 @0846   Recovered: 10 411,#Walkaway Blue States,
475100886335230_818036975374951,https://www.facebook.com/groups/475100886335230/permalink/818036975374951/,4/3/2020 8:57:58 AM,1,0,0,Good morning. First report of 4/3/2020 @0846   Recovered: 10 411,#Walkaway Blue States,
475100886335230_817972652048050,https://www.facebook.com/groups/475100886335230/permalink/817972652048050/,4/3/2020 6:56:37 AM,2,0,0,,#Walkaway Blue States,
475100886335230_816281072217208,https://www.facebook.com/groups/475100886335230/permalink/816281072217208/,3/31/2020 8:10:19 PM,1,10,0,EXIT 109 PILOT MCDONALD'S IN VIENNA GA ON I-75 IS REFUSING TO SERVE US TRUCKERS  MAKE THIS GO VIRAL,#Walkaway Blue States,
475100886335230_817076668804315,https://www.facebook.com/groups/475100886335230/permalink/817076668804315/,4/1/2020 10:23:00 PM,0,0,0,The Coronavirus is scary. Have y'all not seen the number of deaths in NY and other states?  Please do not tell me that is fake news!! Out of respect for the first responders and those who have passed away and their families we must recognize the severity of this virus!! I do agree that media should put news about those who have survived and recovered to give hope to the nation but without taking away that we must stay vigilant. Stay home people! If you don't care about your own health FINE but don't put other people's lives in danger.🙏,#Walkaway Blue States,
475100886335230_815880215590627,https://www.facebook.com/groups/475100886335230/permalink/815880215590627/,3/31/2020 7:30:59 AM,2,1,0,,#Walkaway Blue States,
475100886335230_816281638883818,https://www.facebook.com/groups/475100886335230/permalink/816281638883818/,3/31/2020 8:11:54 PM,0,0,0,,#Walkaway Blue States,
475100886335230_815512415627407,https://www.facebook.com/groups/475100886335230/permalink/815512415627407/,3/30/2020 5:37:38 PM,0,0,0,,#Walkaway Blue States,
475100886335230_814592235719425,https://www.facebook.com/groups/475100886335230/permalink/814592235719425/,3/29/2020 11:03:48 AM,8,3,0,,#Walkaway Blue States,
475100886335230_814115895767059,https://www.facebook.com/groups/475100886335230/permalink/814115895767059/,3/28/2020 6:37:59 PM,0,1,0,Trump haters please tear up your checks. You do NOT deserve it.,#Walkaway Blue States,
475100886335230_813310479180934,https://www.facebook.com/groups/475100886335230/permalink/813310479180934/,3/27/2020 3:31:22 PM,1,0,0,,#Walkaway Blue States,
475100886335230_813168019195180,https://www.facebook.com/groups/475100886335230/permalink/813168019195180/,3/27/2020 11:37:56 AM,1,0,0,,#Walkaway Blue States,
475100886335230_812538555924793,https://www.facebook.com/groups/475100886335230/permalink/812538555924793/,3/26/2020 3:52:35 PM,1,0,0,Attention  Gas Station Owners in states that do not pump gas for their Customers. Why not prevent the spreading of this Virus on Pump handles by hiring people to pump gas for you?   The US Unemployment rate is now 2.8 Million people! You can put 1000's of people back to work and do a courageous thing to jumpstart the Economy!!  It's up to you guys now  you have the power to do this! Please Share this FAR and WIDE!! #DefeatTheVirus,#Walkaway Blue States,
475100886335230_810360242809291,https://www.facebook.com/groups/475100886335230/permalink/810360242809291/,3/23/2020 3:12:28 PM,0,1,0,,#Walkaway Blue States,
475100886335230_807740703071245,https://www.facebook.com/groups/475100886335230/permalink/807740703071245/,3/20/2020 3:08:45 AM,1,0,0,,#Walkaway Blue States,
475100886335230_806760873169228,https://www.facebook.com/groups/475100886335230/permalink/806760873169228/,3/18/2020 5:54:20 PM,4,0,0,To all of my fellow Trump supporters who actually took the time to read my entire previous post.....thank you! 💘 To those of you who cussed me out than read the entire post and apologized....you're forgiven & thank you! To those other few who still condemned me.....shame on you! 😠 How are we to get people to come on over to our side and walk away from that demonic liberal party when you belittle a fellow patriot without cause? We must come together in unity to re-elect Trump because by my post you can obviously see the liberal's hateful mentality.,#Walkaway Blue States,
475100886335230_806420613203254,https://www.facebook.com/groups/475100886335230/permalink/806420613203254/,3/18/2020 7:25:34 AM,1,0,0,,#Walkaway Blue States,
475100886335230_806405026538146,https://www.facebook.com/groups/475100886335230/permalink/806405026538146/,3/18/2020 6:56:48 AM,0,0,0,,#Walkaway Blue States,
475100886335230_806195356559113,https://www.facebook.com/groups/475100886335230/permalink/806195356559113/,3/17/2020 11:13:55 PM,1,0,0,Please read the entire post. Calling fellow Trump supporter nasty names is NOT cool!  I hope Trump is satisfied. Thanks to his inept handling of the coronavirus pandemic  March Madness has been canceled. If that’s not enough the NBA  NHL and MLB seasons have been suspended. He’s probably going to cause this crisis to extend to Autumn so that the NFL will have to cancel the football season and will also cause the cancellation of college football. He has totally tanked the stock market and ruined the great economy that Obama created. He’s responsible for schools closing  preventing children from getting an education. What’s worse  the kids can’t even go to Disney Land while they’re off because Trump caused Disney to close. He caused Americans to become stranded in foreign countries due to his racist travel ban. In fact  due to his ineptitude he has screwed up the entire world. 🐑  I don’t really believe any of this 🐴💩 I just wanted to see what it feels like to be a democrat and a pretend journalist in the REGRESSIVE LEFT news media for a few minutes.  Copied and pasted... 🙄 MAGA KAG,#Walkaway Blue States,
475100886335230_806056933239622,https://www.facebook.com/groups/475100886335230/permalink/806056933239622/,3/17/2020 6:12:22 PM,0,0,0,UNDERSTAND HOW THIS VIRUS IS DIFFERENT & WHY A THREAT  Feeling confused as to why Coronavirus is a bigger deal than Seasonal flu? Here it is in a nutshell. I hope this helps. Feel free to share this to others who don’t understand...  It has to do with RNA sequencing.... I.e. genetics.  Seasonal flu is an “all human virus”. The DNA/RNA chains that make up the virus are recognized by the human immune system. This means that your body has some immunity to it before it comes around each year... you get immunity two ways...through exposure to a virus  or by getting a flu shot.  Novel viruses  come from animals.... the WHO tracks novel viruses in animals  (sometimes for years watching for mutations). Usually these viruses only transfer from animal to animal (pigs in the case of H1N1) (birds in the case of the Spanish flu). But once  one of these animal viruses mutates  and starts to transfer from animals to humans... then it’s a problem  Why? Because we have no natural or acquired immunity.. the RNA sequencing of the genes inside the virus isn’t human  and the human immune system doesn’t recognize it so  we can’t fight it off.  Now.... sometimes  the mutation only allows transfer from animal to human  for years it’s only transmission is from an infected animal to a human before it finally mutates so that it can now transfer human to human... once that happens..we have a new contagion phase. And depending on the fashion of this new mutation  thats what decides how contagious  or how deadly it’s gonna be..  H1N1 was deadly....but it did not mutate in a way that was as deadly as the Spanish flu. It’s RNA was slower to mutate and it attacked its host differently  too.  Fast forward.  Now  here comes this Coronavirus... it existed in animals only  for nobody knows how long...but one day  at an animal market  in Wuhan China  in December 2019  it mutated and made the jump from animal to people. At first  only animals could give it to a person... But here is the scary part.... in just TWO WEEKS it mutated again and gained the ability to jump from human to human. Scientists call this quick ability  “slippery”  This Coronavirus  not being in any form a “human” virus (whereas we would all have some natural or acquired immunity). Took off like a rocket. And this was because  Humans have no known immunity...doctors have no known medicines for it.  And it just so happens that this particular mutated animal virus  changed itself in such a way the way that it causes great damage to human lungs..  That’s why Coronavirus is different from seasonal flu  or H1N1 or any other type of influenza.... this one is slippery AF. And it’s a lung eater...And  it’s already mutated AGAIN  so that we now have two strains to deal with  strain s  and strain L....which makes it twice as hard to develop a vaccine.  We really have no tools in our shed  with this. History has shown that fast and immediate closings of public places has helped in the past pandemics. Philadelphia and Baltimore were reluctant to close events in 1918 and they were the hardest hit in the US during the Spanish Flu.  Factoid: Henry VIII stayed in his room and allowed no one near him  till the Black Plague passed...(honestly...I understand him so much better now). Just like us  he had no tools in his shed  except social isolation...  And let me end by saying....right now it’s hitting older folks harder... but this genome is so slippery...if it mutates again (and it will). Who is to say  what it will do next. In a nut shell - a hospital services 460 000 people and they have 16 ICU beds with ventilators. If they are down to the last ventilator and there is a 70 old year and a 30 year old who both need one  the 30 year old will get it. This is why we are being asked to stay away from large gatherings - maybe not for you  because you may be young and healthy and may have limited symptoms but for those around you who might not. For your 70 year old neighbour who may not have access to that last ventilator because all 16 are being used.,#Walkaway Blue States,
475100886335230_805024010009581,https://www.facebook.com/groups/475100886335230/permalink/805024010009581/,3/16/2020 8:50:50 AM,0,0,0,,#Walkaway Blue States,
475100886335230_801984336980215,https://www.facebook.com/groups/475100886335230/permalink/801984336980215/,3/12/2020 1:29:43 AM,0,0,0,I want this book! 📚,#Walkaway Blue States,
